name,url
DYNAMO,http://en.wikipedia.org/wiki/DYNAMO_(programming_language)
E,http://en.wikipedia.org/wiki/E_(programming_language)
E#,http://en.wikipedia.org/wiki/E_Sharp_(programming_language)
Ease,http://en.wikipedia.org/wiki/Ease_(programming_language)
Easy PL/I,http://en.wikipedia.org/wiki/PL/I
Easy Programming Language,http://en.wikipedia.org/wiki/Easy_Programming_Language
EASYTRIEVE PLUS,http://en.wikipedia.org/wiki/Easytrieve
ECMAScript,http://en.wikipedia.org/wiki/ECMAScript
Edinburgh IMP,http://en.wikipedia.org/wiki/Edinburgh_IMP
EGL,http://en.wikipedia.org/wiki/EGL_(programming_language)
Eiffel,http://en.wikipedia.org/wiki/Eiffel_(programming_language)
ELAN,http://en.wikipedia.org/wiki/ELAN_(programming_language)
Elixir,http://en.wikipedia.org/wiki/Elixir_(programming_language)
Elm,http://en.wikipedia.org/wiki/Elm_(programming_language)
Emacs Lisp,http://en.wikipedia.org/wiki/Emacs_Lisp
Emerald,http://en.wikipedia.org/wiki/Emerald_(programming_language)
Epigram,http://en.wikipedia.org/wiki/Epigram_(programming_language)
EPL,http://en.wikipedia.org/wiki/Easy_Programming_Language
Erlang,http://en.wikipedia.org/wiki/Erlang_(programming_language)
es,http://en.wikipedia.org/wiki/Es_(Unix_shell)
Escapade,http://en.wikipedia.org/wiki/Escapade_(programming_language)
Escher,http://en.wikipedia.org/wiki/Escher_(programming_language)
ESPOL,http://en.wikipedia.org/wiki/Executive_Systems_Problem_Oriented_Language
Esterel,http://en.wikipedia.org/wiki/Esterel
Etoys,http://en.wikipedia.org/wiki/Etoys_(programming_language)
Euclid,http://en.wikipedia.org/wiki/Euclid_(programming_language)
Euler,http://en.wikipedia.org/wiki/Euler_(programming_language)
Euphoria,http://en.wikipedia.org/wiki/Euphoria_(programming_language)
EusLisp Robot Programming Language,http://en.wikipedia.org/wiki/EusLisp_Robot_Programming_Language
CMS EXEC,http://en.wikipedia.org/wiki/CMS_EXEC
EXEC 2,http://en.wikipedia.org/wiki/EXEC_2
Executable UML,http://en.wikipedia.org/wiki/Executable_UML
F,http://en.wikipedia.org/wiki/F_(programming_language)
F#,http://en.wikipedia.org/wiki/F_Sharp_(programming_language)
Factor,http://en.wikipedia.org/wiki/Factor_(programming_language)
Falcon,http://en.wikipedia.org/wiki/Falcon_(programming_language)
Fancy,http://en.wikipedia.org/wiki/Fancy_(programming_language)
Fantom,http://en.wikipedia.org/wiki/Fantom_(programming_language)
FAUST,http://en.wikipedia.org/wiki/FAUST_(programming_language)
Felix,http://en.wikipedia.org/wiki/Felix_(programming_language)
Ferite,http://en.wikipedia.org/wiki/Ferite
FFP,http://en.wikipedia.org/wiki/FFP_(programming_language)
Fjölnir,http://en.wikipedia.org/wiki/Fj%C3%B6lnir_(programming_language)
FL,http://en.wikipedia.org/wiki/FL_(programming_language)
Flavors,http://en.wikipedia.org/wiki/Flavors_(programming_language)
Flex,http://en.wikipedia.org/wiki/Flex_(programming_language)
FLOW-MATIC,http://en.wikipedia.org/wiki/FLOW-MATIC
FOCAL,http://en.wikipedia.org/wiki/FOCAL_(programming_language)
FOCUS,http://en.wikipedia.org/wiki/FOCUS
FOIL,http://en.wikipedia.org/wiki/FOIL_(programming_language)
FORMAC,http://en.wikipedia.org/wiki/FORMAC_(programming_language)
@Formula,http://en.wikipedia.org/wiki/Formula_language
Forth,http://en.wikipedia.org/wiki/Forth_(programming_language)
Fortran,http://en.wikipedia.org/wiki/Fortran
Fortress,http://en.wikipedia.org/wiki/Fortress_(programming_language)
FoxBase,http://en.wikipedia.org/wiki/FoxBase
FoxPro,http://en.wikipedia.org/wiki/FoxPro_(disambiguation)
FP,http://en.wikipedia.org/wiki/FP_(programming_language)
FPr,http://en.wikipedia.org/wiki/FPr_(programming_language)
Franz Lisp,http://en.wikipedia.org/wiki/Franz_Lisp
F-Script,http://en.wikipedia.org/wiki/F-Script_(programming_language)
FSProg,http://fr.wikipedia.org/wiki/FSProg
G,http://en.wikipedia.org/wiki/G_(programming_language)
Google Apps Script,http://en.wikipedia.org/wiki/Google_Apps_Script
Game Maker Language,http://en.wikipedia.org/wiki/GameMaker:_Studio
GameMonkey Script,http://en.wikipedia.org/wiki/GameMonkey_Script
GAMS,http://en.wikipedia.org/wiki/General_Algebraic_Modeling_System
GAP,http://en.wikipedia.org/wiki/GAP_computer_algebra_system
G-code,http://en.wikipedia.org/wiki/G-code
Genie,http://en.wikipedia.org/wiki/Genie_(programming_language)
GDL,http://en.wikipedia.org/wiki/Geometric_Description_Language
Gibiane,http://en.wikipedia.org/wiki/Gibiane
GJ,http://en.wikipedia.org/wiki/Generic_Java
GEORGE,http://en.wikipedia.org/wiki/GEORGE_(programming_language)
GLSL,http://en.wikipedia.org/wiki/GLSL
GNU E,http://en.wikipedia.org/wiki/GNU_E
GM,http://en.wikipedia.org/wiki/Golden_master
Go,http://en.wikipedia.org/wiki/Go_(programming_language)
Go!,http://en.wikipedia.org/wiki/Go!_(programming_language)
GOAL,http://en.wikipedia.org/wiki/Game_Oriented_Assembly_Lisp
Gödel,http://en.wikipedia.org/wiki/G%C3%B6del_(programming_language)
Godiva,http://en.wikipedia.org/wiki/Godiva_(programming_language)
GOM (Good Old Mad),http://en.wikipedia.org/wiki/MAD_(programming_language)
Goo,http://en.wikipedia.org/wiki/Goo_(programming_language)
Gosu,http://en.wikipedia.org/wiki/Gosu_(programming_language)
GOTRAN,http://en.wikipedia.org/wiki/IBM_1620#GOTRAN
GPSS,http://en.wikipedia.org/wiki/GPSS
GraphTalk,http://en.wikipedia.org/wiki/Computer_Sciences_Corporation
GRASS,http://en.wikipedia.org/wiki/GRASS_(programming_language)
Groovy,http://en.wikipedia.org/wiki/Groovy_(programming_language)
Hack (programming language),http://en.wikipedia.org/wiki/Hack_(programming_language)
HAL/S,http://en.wikipedia.org/wiki/HAL/S
Hamilton C shell,http://en.wikipedia.org/wiki/Hamilton_C_shell
Harbour,http://en.wikipedia.org/wiki/Harbour_(software)
Hartmann pipelines,http://en.wikipedia.org/wiki/Hartmann_pipeline
Haskell,http://en.wikipedia.org/wiki/Haskell_(programming_language)
Haxe,http://en.wikipedia.org/wiki/Haxe
High Level Assembly,http://en.wikipedia.org/wiki/High_Level_Assembly
HLSL,http://en.wikipedia.org/wiki/High_Level_Shader_Language
Hop,http://en.wikipedia.org/wiki/Hop_(software)
Hope,http://en.wikipedia.org/wiki/Hope_(programming_language)
Hugo,http://en.wikipedia.org/wiki/Hugo_(programming_language)
Hume,http://en.wikipedia.org/wiki/Hume_(language)
HyperTalk,http://en.wikipedia.org/wiki/HyperTalk
IBM Basic assembly language,http://en.wikipedia.org/wiki/IBM_Basic_assembly_language
IBM HAScript,http://en.wikipedia.org/wiki/IBM_HAScript
IBM Informix-4GL,http://en.wikipedia.org/wiki/IBM_Informix-4GL
IBM RPG,http://en.wikipedia.org/wiki/IBM_RPG
ICI,http://en.wikipedia.org/wiki/ICI_(programming_language)
Icon,http://en.wikipedia.org/wiki/Icon_(programming_language)
Id,http://en.wikipedia.org/wiki/Id_(programming_language)
IDL,http://en.wikipedia.org/wiki/IDL_(programming_language)
Idris,http://en.wikipedia.org/wiki/Idris_(programming_language)
IMP,http://en.wikipedia.org/wiki/IMP_(programming_language)
Inform,http://en.wikipedia.org/wiki/Inform
Io,http://en.wikipedia.org/wiki/Io_(programming_language)
Ioke,http://en.wikipedia.org/wiki/Ioke_(programming_language)
IPL,http://en.wikipedia.org/wiki/Information_Processing_Language
IPTSCRAE,http://en.wikipedia.org/wiki/IPTSCRAE
ISLISP,http://en.wikipedia.org/wiki/ISLISP
ISPF,http://en.wikipedia.org/wiki/ISPF
ISWIM,http://en.wikipedia.org/wiki/ISWIM
J,http://en.wikipedia.org/wiki/J_(programming_language)
J#,http://en.wikipedia.org/wiki/J_Sharp
J++,http://en.wikipedia.org/wiki/Visual_J%2B%2B
JADE,http://en.wikipedia.org/wiki/JADE_(programming_language)
Jako,http://en.wikipedia.org/wiki/Jako_(programming_language)
JAL,http://en.wikipedia.org/wiki/JAL_(compiler)
Janus,http://en.wikipedia.org/wiki/Janus_(programming_language)
JASS,http://en.wikipedia.org/wiki/JASS
Java,http://en.wikipedia.org/wiki/Java_(programming_language)
JavaScript,http://en.wikipedia.org/wiki/JavaScript
JCL,http://en.wikipedia.org/wiki/Job_Control_Language
JEAN,http://en.wikipedia.org/wiki/JEAN
Join Java,http://en.wikipedia.org/wiki/Join_Java
JOSS,http://en.wikipedia.org/wiki/JOSS
Joule,http://en.wikipedia.org/wiki/Joule_(programming_language)
JOVIAL,http://en.wikipedia.org/wiki/JOVIAL
Joy,http://en.wikipedia.org/wiki/Joy_(programming_language)
JScript,http://en.wikipedia.org/wiki/JScript
JScript .NET,http://en.wikipedia.org/wiki/JScript_.NET
JavaFX Script,http://en.wikipedia.org/wiki/JavaFX_Script
Julia,http://en.wikipedia.org/wiki/Julia_(programming_language)
Jython,http://en.wikipedia.org/wiki/Jython
K,http://en.wikipedia.org/wiki/K_(programming_language)
Kaleidoscope,http://en.wikipedia.org/wiki/Kaleidoscope_(programming_language)
Karel,http://en.wikipedia.org/wiki/Karel_(programming_language)
Karel++,http://en.wikipedia.org/wiki/Karel%2B%2B
KEE,http://en.wikipedia.org/wiki/IntelliCorp_(Software)
Kixtart,http://en.wikipedia.org/wiki/KiXtart
KIF,http://en.wikipedia.org/wiki/Knowledge_Interchange_Format
Kojo,http://en.wikipedia.org/wiki/Kojo_(programming_language)
Kotlin,http://en.wikipedia.org/wiki/Kotlin_(programming_language)
KRC,http://en.wikipedia.org/wiki/Kent_Recursive_Calculator
KRL,http://en.wikipedia.org/wiki/KRL_(programming_language)
KUKA,http://en.wikipedia.org/wiki/KUKA
KRYPTON,http://en.wikipedia.org/wiki/KRYPTON
ksh,http://en.wikipedia.org/wiki/Korn_shell
L,http://en.wikipedia.org/wiki/L_(programming_language)
L# .NET,http://en.wikipedia.org/wiki/L_Sharp
LabVIEW,http://en.wikipedia.org/wiki/LabVIEW
Ladder,http://en.wikipedia.org/wiki/Ladder_logic
Lagoona,http://en.wikipedia.org/wiki/Lagoona_(programming_language)
LANSA,http://en.wikipedia.org/wiki/LANSA_(development_environment)
Lasso,http://en.wikipedia.org/wiki/Lasso_(programming_language)
LaTeX,http://en.wikipedia.org/wiki/LaTeX
Lava,http://en.wikipedia.org/wiki/Lava_(programming_language)
LC-3,http://en.wikipedia.org/wiki/LC-3
Leda,http://en.wikipedia.org/wiki/Leda_(programming_language)
Legoscript,http://en.wikipedia.org/wiki/Lego_Mindstorms
LIL,http://en.wikipedia.org/wiki/Little_Implementation_Language
LilyPond,http://en.wikipedia.org/wiki/LilyPond
Limbo,http://en.wikipedia.org/wiki/Limbo_(programming_language)
Limnor,http://en.wikipedia.org/wiki/Limnor
LINC,http://en.wikipedia.org/wiki/LINC
Lingo,http://en.wikipedia.org/wiki/Lingo_(programming_language)
Linoleum,http://en.wikipedia.org/wiki/Linoleum_(programming_language)
LIS,http://en.wikipedia.org/wiki/LIS_(programming_language)
LISA,http://en.wikipedia.org/wiki/Language_for_Instruction_Set_Architecture
Lisaac,http://en.wikipedia.org/wiki/Lisaac
Lisp,http://en.wikipedia.org/wiki/Lisp_(programming_language)
Lite-C,http://en.wikipedia.org/wiki/Lite-C
Lithe,http://en.wikipedia.org/wiki/Lithe_(programming_language)
Little b,http://en.wikipedia.org/wiki/Little_b_(programming_language)
Logo,http://en.wikipedia.org/wiki/Logo_(programming_language)
Logtalk,http://en.wikipedia.org/wiki/Logtalk
LPC,http://en.wikipedia.org/wiki/LPC_(programming_language)
LSE,http://en.wikipedia.org/wiki/LSE_(programming_language)
LSL,http://en.wikipedia.org/wiki/Linden_Scripting_Language
LiveCode,http://en.wikipedia.org/wiki/LiveCode
LiveScript,http://en.wikipedia.org/wiki/LiveScript
Lua,http://en.wikipedia.org/wiki/Lua_(programming_language)
Lucid,http://en.wikipedia.org/wiki/Lucid_(programming_language)
Lustre,http://en.wikipedia.org/wiki/Lustre_(programming_language)
LYaPAS,http://en.wikipedia.org/wiki/LYaPAS
Lynx,http://en.wikipedia.org/wiki/Lynx_(programming_language)
M2001,http://en.wikipedia.org/wiki/M2001
M4,http://en.wikipedia.org/wiki/M4_(computer_language)
Machine code,http://en.wikipedia.org/wiki/Machine_code
MAD,http://en.wikipedia.org/wiki/MAD_(programming_language)
MAD/I,http://en.wikipedia.org/wiki/MAD_(programming_language)
Magik,http://en.wikipedia.org/wiki/Magik_(programming_language)
Magma,http://en.wikipedia.org/wiki/Magma_computer_algebra_system
make,http://en.wikipedia.org/wiki/Make_(software)
Maple,http://en.wikipedia.org/wiki/Maple_(software)
MAPPER,http://en.wikipedia.org/wiki/MAPPER
MARK-IV,http://en.wikipedia.org/wiki/MARK_IV_(software)
Mary,http://en.wikipedia.org/wiki/Mary_(programming_language)
MASM Microsoft Assembly x86,http://en.wikipedia.org/wiki/Microsoft_Macro_Assembler
Mathematica,http://en.wikipedia.org/wiki/Mathematica
MATLAB,http://en.wikipedia.org/wiki/MATLAB
Maxima,http://en.wikipedia.org/wiki/Maxima_(software)
Macsyma,http://en.wikipedia.org/wiki/Macsyma
Max,http://en.wikipedia.org/wiki/Max_(software)
MaxScript,http://en.wikipedia.org/wiki/Autodesk_3ds_Max
Maya (MEL),http://en.wikipedia.org/wiki/Maya_Embedded_Language
MDL,http://en.wikipedia.org/wiki/MDL_(programming_language)
Mercury,http://en.wikipedia.org/wiki/Mercury_(programming_language)
Mesa,http://en.wikipedia.org/wiki/Mesa_(programming_language)
Metacard,http://en.wikipedia.org/wiki/Metacard
Metafont,http://en.wikipedia.org/wiki/Metafont
MetaL,http://en.wikipedia.org/wiki/MetaL_(programming_language)
Microcode,http://en.wikipedia.org/wiki/Microassembler
MicroScript,http://en.wikipedia.org/wiki/MicroScript_(programming_language)
MIIS,http://en.wikipedia.org/wiki/MIIS_(programming_language)
MillScript,http://en.wikipedia.org/wiki/MillScript
MIMIC,http://en.wikipedia.org/wiki/MIMIC
Mirah,http://en.wikipedia.org/wiki/Mirah_(programming_language)
Miranda,http://en.wikipedia.org/wiki/Miranda_(programming_language)
MIVA Script,http://en.wikipedia.org/wiki/MIVA_Script
ML,http://en.wikipedia.org/wiki/ML_(programming_language)
Moby,http://en.wikipedia.org/wiki/Moby_(programming_language)
Model 204,http://en.wikipedia.org/wiki/Model_204
Modelica,http://en.wikipedia.org/wiki/Modelica
Modula,http://en.wikipedia.org/wiki/Modula
Modula-2,http://en.wikipedia.org/wiki/Modula-2
Modula-3,http://en.wikipedia.org/wiki/Modula-3
Mohol,http://en.wikipedia.org/wiki/Mohol_programming_languages
MOO,http://en.wikipedia.org/wiki/MOO_(programming_language)
Mortran,http://en.wikipedia.org/wiki/Mortran
Mouse,http://en.wikipedia.org/wiki/Mouse_(programming_language)
MPD,http://en.wikipedia.org/wiki/MPD_(programming_language)
CIL,http://en.wikipedia.org/wiki/Common_Intermediate_Language
MSL,http://en.wikipedia.org/wiki/MIRC_scripting_language
MUMPS,http://en.wikipedia.org/wiki/MUMPS
NASM,http://en.wikipedia.org/wiki/Netwide_Assembler
NATURAL,http://en.wikipedia.org/wiki/NATURAL
Napier88,http://en.wikipedia.org/wiki/Napier88
Neko,http://en.wikipedia.org/wiki/Neko_(programming_language)
Nemerle,http://en.wikipedia.org/wiki/Nemerle
nesC,http://en.wikipedia.org/wiki/NesC
NESL,http://en.wikipedia.org/wiki/NESL
Net.Data,http://en.wikipedia.org/wiki/Net.Data
NetLogo,http://en.wikipedia.org/wiki/NetLogo
NetRexx,http://en.wikipedia.org/wiki/NetRexx
NewLISP,http://en.wikipedia.org/wiki/NewLISP
NEWP,http://en.wikipedia.org/wiki/NEWP
Newspeak,http://en.wikipedia.org/wiki/Newspeak_(programming_language)
NewtonScript,http://en.wikipedia.org/wiki/NewtonScript
NGL,http://en.wikipedia.org/wiki/NGL_(programming_language)
Nial,http://en.wikipedia.org/wiki/Nial
Nice,http://en.wikipedia.org/wiki/Nice_(programming_language)
Nickle,http://en.wikipedia.org/wiki/Nickle_(programming_language)
NPL,http://en.wikipedia.org/wiki/NORD_Programming_Language
Not eXactly C,http://en.wikipedia.org/wiki/Not_eXactly_C
Not Quite C,http://en.wikipedia.org/wiki/Not_Quite_C
NSIS,http://en.wikipedia.org/wiki/Nullsoft_Scriptable_Install_System
Nu,http://en.wikipedia.org/wiki/Nu_(programming_language)
NWScript,http://en.wikipedia.org/wiki/NWScript
NXT-G,http://en.wikipedia.org/wiki/NXT-G
o:XML,http://en.wikipedia.org/wiki/O:XML
Oak,http://en.wikipedia.org/wiki/Oak_(programming_language)
Oberon,http://en.wikipedia.org/wiki/Oberon_(programming_language)
Obix,http://en.wikipedia.org/wiki/Obix_programming_language
OBJ2,http://en.wikipedia.org/wiki/OBJ2
Object Lisp,http://en.wikipedia.org/wiki/Object_Lisp
ObjectLOGO,http://en.wikipedia.org/wiki/ObjectLOGO
Object REXX,http://en.wikipedia.org/wiki/Object_REXX
Object Pascal,http://en.wikipedia.org/wiki/Object_Pascal
Objective-C,http://en.wikipedia.org/wiki/Objective-C
Objective-J,http://en.wikipedia.org/wiki/Objective-J
Obliq,http://en.wikipedia.org/wiki/Obliq
Obol,http://en.wikipedia.org/wiki/Obol_(programming_language)
OCaml,http://en.wikipedia.org/wiki/OCaml
occam,http://en.wikipedia.org/wiki/Occam_(programming_language)
occam-π,http://en.wikipedia.org/wiki/Occam-%CF%80
Octave,http://en.wikipedia.org/wiki/GNU_Octave
OmniMark,http://en.wikipedia.org/wiki/OmniMark
Onyx,http://en.wikipedia.org/wiki/Onyx_(programming_language)
Opa,http://en.wikipedia.org/wiki/Opa_(programming_language)
